company_id,company_name,ticker,sector
1,Reliance Industries,RELIANCE,Energy
2,Tata Consultancy Services,TCS,IT
3,Infosys,INFY,IT
4,HDFC Bank,HDFCBANK,Banking
5,ICICI Bank,ICICIBANK,Banking
